Term                           IDF                           
греть                          1.2688                        
темница                        2.1139                        
смысл                          1.415                         
открывать                      1.415                         
холодно                        1.5119                        
ветер                          1.2109                        
лепить                         1.8129                        
грязь                          1.1597                        
шуметь                         1.3358                        
шуршать                        1.8129                        
шумный                         1.6368                        
шшшшш                          2.1139                        
шшшш                           2.1139                        
слышать                        1.2688                        
думаться                       2.1139                        
апрель                         1.8129                        
болеть                         1.2109                        
нога                           0.9379                        
синеть                         2.1139                        
пачкаться                      2.1139                        
женатый                        2.1139                        
лето                           1.8129                        
жара                           2.1139                        
кричать                        1.0348                        
сетовать                       1.8129                        
макушка                        2.1139                        
пекло                          2.1139                        
тепло                          1.2688                        
батарея                        1.6368                        
небо                           0.7715                        
согреть                        1.8129                        
лужа                           1.5119                        
идти                           1.0348                        
носочек                        2.1139                        
тротуар                        2.1139                        
покрыть                        1.5119                        
дабы                           1.5119                        
ранить                         1.6368                        
понимать                       1.1597                        
видеть                         0.8129                        
задохнуться                    2.1139                        
ночью                          1.2109                        
запах                          0.8352                        
расцветать                     2.1139                        
жизнь                          1.0348                        
искусственный                  1.5119                        
закрытый                       1.8129                        
маска                          2.1139                        
искажённый                     2.1139                        
изуродовать                    2.1139                        
наполнить                      1.5119                        
чёрный                         0.9379                        
краска                         1.8129                        
итог                           1.3358                        
город                          1.0348                        
сжимать                        1.8129                        
бетонный                       1.0348                        
мышца                          2.1139                        
выжимать                       1.8129                        
отбирать                       2.1139                        
самый                          0.9379                        
светлый                        2.1139                        
хотеться                       2.1139                        
верить                         1.5119                        
бессмысленный                  1.8129                        
терапия                        2.1139                        
оный                           2.1139                        
товарищ                        2.1139                        
гнусный                        1.6368                        
беззубый                       2.1139                        
уличный                        1.8129                        
художник                       2.1139                        
филантропия                    2.1139                        
путин                          1.8129                        
поставить                      1.8129                        
тысяча                         1.8129                        
памятник                       2.1139                        
помин                          2.1139                        
делать                         1.3358                        
тленный                        2.1139                        
течь                           2.1139                        
молодой                        1.5119                        
настоящий                      1.6368                        
спешить                        2.1139                        
мак                            2.1139                        
чистить                        1.8129                        
кузов                          2.1139                        
машина                         1.3358                        
замылить                       2.1139                        
мрак                           1.6368                        
встречать                      2.1139                        
пытаться                       1.0                           
отдохнуть                      2.1139                        
поспать                        2.1139                        
скрести                        2.1139                        
сусек                          2.1139                        
словесный                      1.5119                        
из                             1.8129                        
день                           1.2688                        
врач                           1.8129                        
установить                     2.1139                        
шизофрения                     2.1139                        
действовать                    1.8129                        
взлетать                       2.1139                        
падать                         1.0726                        
сорвать                        1.8129                        
испачкать                      2.1139                        
плакать                        1.2109                        
навзрыд                        2.1139                        
тереть                         2.1139                        
обжечься                       2.1139                        
получить                       1.0348                        
ожог                           1.8129                        
прятать                        1.6368                        
зонт                           2.1139                        
сохранить                      2.1139                        
смочь                          1.3358                        
скрип                          1.8129                        
кровать                        1.2109                        
соседний                       2.1139                        
класть                         2.1139                        
уголь                          1.8129                        
дышать                         1.2688                        
спать                          1.1597                        
звенящий                       2.1139                        
проезжать                      1.8129                        
вагон                          1.6368                        
метро                          1.6368                        
мразь                          2.1139                        
натянуть                       2.1139                        
ухо                            1.6368                        
пальто                         1.8129                        
намылить                       2.1139                        
едкий                          2.1139                        
мочить                         2.1139                        
пьяный                         1.3358                        
дед                            2.1139                        
макдональдс                    2.1139                        
объедок                        2.1139                        
окружающий                     1.5119                        
спросить                       1.8129                        
цена                           2.1139                        
свобода                        2.1139                        
ребёнок                        1.0726                        
собирать                       2.1139                        
кед                            2.1139                        
жить                           0.8129                        
срывать                        1.3358                        
окова                          1.8129                        
год                            1.8129                        
рождение                       2.1139                        
чётный                         2.1139                        
цвет                           1.5119                        
вонь                           1.5119                        
туалет                         2.1139                        
единственный                   1.5119                        
весна                          1.8129                        
магический                     1.8129                        
сила                           1.2109                        
паршивый                       2.1139                        
донимать                       2.1139                        
трогать                        1.8129                        
гниль                          2.1139                        
банальный                      2.1139                        
поочерёдно                     1.6368                        
исчезать                       1.2688                        
птица                          0.8835                        
скука                          1.5119                        
отражать                       1.6368                        
помнить                        1.1597                        
наизусть                       2.1139                        
столица                        1.8129                        
мир                            0.8352                        
